Dates,Type,Price,Size
10:30:45,ASK,5582,2
10:30:45,BID,5580,8
10:30:45,BID,5580,1
10:30:45,BID,5578,2
10:30:45,ASK,5581,1
10:30:45,BID,5576,20
10:30:45,ASK,5578,2
10:30:45,ASK,5578,3
10:30:45,ASK,5578,2
10:30:45,BID,5577,1
10:30:45,BID,5576,20
10:30:45,BID,5578,1
10:30:45,ASK,5582,1
10:30:46,ASK,5579,1
10:30:46,ASK,5582,1
10:30:46,ASK,5582,2
10:30:46,ASK,5582,4
10:30:46,ASK,5582,5
10:30:47,ASK,5582,6
10:30:48,BID,5580,1
10:30:48,ASK,5582,2
10:30:48,BID,5581,1
10:30:48,BID,5578,2
10:30:48,BID,5578,1
10:30:48,ASK,5582,1
10:30:48,ASK,5583,1
10:30:48,BID,5580,1
10:30:48,ASK,5585,7
10:30:48,BID,5581,1
10:30:48,BID,5580,1
10:30:48,ASK,5584,1
10:30:48,ASK,5585,7
10:30:49,BID,5578,1
10:30:49,ASK,5584,3
10:30:52,BID,5580,1
10:30:53,ASK,5584,4
10:30:54,ASK,5583,1
10:30:54,ASK,5584,2
10:30:54,ASK,5586,2
10:30:54,ASK,5585,1
10:30:55,ASK,5585,2
10:30:55,BID,5578,2
10:30:55,ASK,5585,3
10:30:55,ASK,5585,2
10:30:55,ASK,5584,1
10:30:56,TRADE,5584,1
10:30:56,TRADE,5585,2
10:30:56,TRADE,5586,2
10:30:56,TRADE,5588,1
10:30:56,TRADE,5589,7
10:30:56,TRADE,5590,6
10:30:56,BID,5590,21
10:30:56,ASK,5591,2
10:30:56,TRADE,5590,1
10:30:56,BID,5590,20
10:30:56,TRADE,5590,1
10:30:56,BID,5590,19
10:30:56,TRADE,5590,4
10:30:56,BID,5590,15
10:30:56,TRADE,5590,1
10:30:56,BID,5590,14
10:30:56,TRADE,5590,1
10:30:56,BID,5590,13
10:30:56,TRADE,5590,3
10:30:56,BID,5590,10
10:30:56,TRADE,5590,2
10:30:56,BID,5590,8
10:30:56,TRADE,5590,2
10:30:56,BID,5590,6
10:30:56,TRADE,5590,6
10:30:56,BID,5586,1
10:30:56,ASK,5591,4
10:30:56,BID,5584,1
10:30:56,BID,5585,1
10:30:56,BID,5584,1
10:30:56,ASK,5588,1
10:30:56,ASK,5588,2
10:30:56,ASK,5587,1
10:30:56,BID,5582,1
10:30:56,ASK,5587,2
10:30:56,ASK,5587,1
10:30:56,ASK,5586,1
10:30:56,ASK,5586,2
10:30:56,ASK,5586,1
10:30:56,ASK,5586,2
10:30:56,BID,5582,2
10:30:56,BID,5582,3
10:30:56,TRADE,5586,2
10:30:56,BID,5582,1
10:30:56,ASK,5591,3
10:30:56,BID,5583,1
10:30:56,BID,5584,1
10:30:56,BID,5585,1
10:30:56,BID,5584,1
10:30:56,ASK,5588,2
10:30:56,BID,5583,1
10:30:56,ASK,5588,1
10:30:56,ASK,5588,2
10:30:56,BID,5582,1
10:30:56,BID,5580,2
10:30:56,ASK,5587,1
10:30:56,ASK,5588,2
10:30:56,ASK,5588,3
10:30:56,ASK,5588,4
10:30:56,ASK,5588,3
10:30:56,BID,5580,3
10:30:56,ASK,5588,4
10:30:57,BID,5580,2
10:30:57,ASK,5587,1
10:30:57,ASK,5588,4
10:30:57,ASK,5587,1
10:30:57,ASK,5588,4
10:30:57,ASK,5588,3
10:30:57,ASK,5587,1
10:30:57,ASK,5587,2
10:30:57,ASK,5586,1
10:30:57,ASK,5586,2
10:30:57,ASK,5586,1
10:30:57,ASK,5586,2
10:30:57,ASK,5586,1
10:30:57,BID,5582,1
10:30:57,BID,5582,2
10:30:58,BID,5585,1
10:30:58,BID,5582,2
10:30:58,ASK,5583,3
10:30:58,BID,5582,1
10:30:58,ASK,5583,2
10:30:58,ASK,5583,3
10:30:58,TRADE,5583,1
10:30:58,ASK,5583,2
10:30:58,BID,5581,1
10:30:58,ASK,5584,1
10:30:58,ASK,5588,2
10:30:58,ASK,5586,1
10:30:58,ASK,5586,2
10:30:58,ASK,5586,1
10:30:58,ASK,5584,1
10:30:58,ASK,5583,1
10:30:58,ASK,5584,1
10:30:58,ASK,5585,1
10:30:58,ASK,5587,1
10:30:58,BID,5584,1
10:30:58,ASK,5586,1
10:30:58,TRADE,5584,1
10:30:58,BID,5580,2
10:30:58,ASK,5586,2
10:30:58,BID,5581,1
10:30:58,ASK,5586,1
10:31:00,BID,5584,1
10:31:00,BID,5581,2
10:31:01,BID,5581,3
10:31:01,BID,5584,1
10:31:01,BID,5581,3
10:31:01,BID,5581,2
10:31:01,ASK,5586,2
10:31:01,ASK,5586,3
10:31:01,BID,5579,6
10:31:01,ASK,5583,1
10:31:01,ASK,5581,1
10:31:01,ASK,5583,1
10:31:01,ASK,5582,1
10:31:02,ASK,5583,1
10:31:02,ASK,5583,2
10:31:03,ASK,5583,1
10:31:03,ASK,5584,1
10:31:03,BID,5579,7
10:31:03,ASK,5584,2
10:31:03,BID,5579,5
10:31:03,ASK,5584,1
